timestamp	event	detail
2026-04-14T16:16:10+02:00	start	devices=cpu warmup=5 repeats=20
2026-04-14T16:16:10+02:00	checkpoint	EXP1_SIMPLE_RGB seed=2 path=/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB/seed_2/checkpoints/best.pth
2026-04-14T16:16:11+02:00	benchmark	EXP1_SIMPLE_RGB seed=2 device=cpu
2026-04-14T16:16:12+02:00	checkpoint	EXP2_SIMPLE_RGBD seed=0 path=/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD/seed_0/checkpoints/best.pth
2026-04-14T16:16:13+02:00	benchmark	EXP2_SIMPLE_RGBD seed=0 device=cpu
2026-04-14T16:16:13+02:00	checkpoint	EXP3_RESNET18_RGB_AUGMENT seed=2 path=/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT/seed_2/checkpoints/best.pth
2026-04-14T16:16:15+02:00	benchmark	EXP3_RESNET18_RGB_AUGMENT seed=2 device=cpu
2026-04-14T16:16:15+02:00	checkpoint	EXP4_RESNET18_RGBD seed=2 path=/home/laboratorio/TFM/agarre_inteligente/experiments/EXP4_RESNET18_RGBD/seed_2/checkpoints/best.pth
2026-04-14T16:16:17+02:00	benchmark	EXP4_RESNET18_RGBD seed=2 device=cpu
2026-04-14T16:16:18.025198	generated	/home/laboratorio/TFM/reports/tables/cap5/Tabla_5-3_medicion_de_latencia_de_inferencia_por_experimento_y_dispositivo.csv
2026-04-14T16:16:18.025469	rows	4
